"As Of Date","Time Series","Value (millions)"
"2020-07-15","PDGSWOEXT","298782"
"2020-07-22","PDGSIDBEXT","103119"
"2020-07-22","PDGSWOEXT","278726"
"2020-07-29","PDGSIDBEXT","134970"
"2020-07-29","PDGSWOEXT","347430"
"2020-08-05","PDGSIDBEXT","148475"
"2020-08-05","PDGSWOEXT","351247"
"2020-08-12","PDGSIDBEXT","136827"
"2020-08-12","PDGSWOEXT","323256"
"2020-08-19","PDGSIDBEXT","139236"
"2020-08-19","PDGSWOEXT","348876"
"2020-08-26","PDGSIDBEXT","154498"
"2020-08-26","PDGSWOEXT","372338"
"2020-09-02","PDGSIDBEXT","183210"
"2020-09-02","PDGSWOEXT","426076"
"2020-09-09","PDGSIDBEXT","158748"
"2020-09-09","PDGSWOEXT","393313"
"2020-09-16","PDGSIDBEXT","138366"
"2020-09-16","PDGSWOEXT","325591"
"2020-09-23","PDGSIDBEXT","150184"
"2020-09-23","PDGSWOEXT","350092"
"2020-09-30","PDGSIDBEXT","162912"
"2020-09-30","PDGSWOEXT","385248"
"2020-10-07","PDGSIDBEXT","167727"
"2020-10-07","PDGSWOEXT","391218"
"2020-10-14","PDGSIDBEXT","134799"
"2020-10-14","PDGSWOEXT","331887"
"2020-10-21","PDGSIDBEXT","121748"
"2020-10-21","PDGSWOEXT","296416"
"2020-10-28","PDGSIDBEXT","140661"
"2020-10-28","PDGSWOEXT","329331"
"2020-11-04","PDGSIDBEXT","193839"
"2020-11-04","PDGSWOEXT","426782"
"2020-11-11","PDGSIDBEXT","190161"
"2020-11-11","PDGSWOEXT","408405"
"2020-11-18","PDGSIDBEXT","170984"
"2020-11-18","PDGSWOEXT","424641"
"2020-11-25","PDGSIDBEXT","174622"
